time,close
2026-01-01 10:00,100.3
2026-01-01 10:01,100.6
2026-01-01 10:02,100.9
2026-01-01 10:03,101.2
2026-01-01 10:04,101.5
2026-01-01 10:05,101.8
2026-01-01 10:06,102.1
2026-01-01 10:07,102.4
2026-01-01 10:08,102.7
2026-01-01 10:09,103.0
2026-01-01 10:10,103.3
2026-01-01 10:11,103.6
2026-01-01 10:12,103.9
2026-01-01 10:13,104.2
2026-01-01 10:14,104.5
2026-01-01 10:15,104.8
2026-01-01 10:16,105.1
2026-01-01 10:17,105.4
2026-01-01 10:18,105.7
2026-01-01 10:19,106.0
2026-01-01 10:20,106.3
2026-01-01 10:21,106.6
2026-01-01 10:22,106.9
2026-01-01 10:23,107.2
2026-01-01 10:24,107.5
2026-01-01 10:25,107.8
2026-01-01 10:26,108.1
2026-01-01 10:27,108.4
2026-01-01 10:28,108.7
2026-01-01 10:29,109.0
2026-01-01 10:30,109.3
2026-01-01 10:31,109.6
2026-01-01 10:32,109.9
2026-01-01 10:33,110.2
2026-01-01 10:34,110.5
2026-01-01 10:35,110.8
2026-01-01 10:36,111.1
2026-01-01 10:37,111.4
2026-01-01 10:38,111.7
2026-01-01 10:39,112.0
2026-01-01 10:40,112.3
2026-01-01 10:41,112.6
2026-01-01 10:42,112.9
2026-01-01 10:43,113.2
2026-01-01 10:44,113.5
2026-01-01 10:45,113.8
2026-01-01 10:46,114.1
2026-01-01 10:47,114.4
2026-01-01 10:48,114.7
2026-01-01 10:49,115.0
2026-01-01 10:50,115.3
2026-01-01 10:51,115.6
2026-01-01 10:52,115.9
2026-01-01 10:53,116.2
2026-01-01 10:54,116.5
2026-01-01 10:55,116.8
2026-01-01 10:56,117.1
2026-01-01 10:57,117.4
2026-01-01 10:58,117.7
2026-01-01 10:59,118.0
